,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,times_tamp
7,2010,Cardano,ADA,cardano,1018,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35367312467.919,36498916808.907,False,,8,,,,2024-01-03T05:21:00.000Z,0.6140552213210259,551012846.9226321,18.5159,0.34295687,-2.31875955,2.85140297,50.41562349,88.49338992,137.68465819,21717482885.01788,1.2502,27632484959.45,,2024-01-03T05:21:00.000Z,,,,,,2024-01-03 05:22:39.567819
8,5805,Avalanche,AVAX,avalanche,628,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",720000000.0,366382488.80281866,434415398.80281866,False,,9,,,,2024-01-03T05:21:00.000Z,40.88427612628187,763156375.9084296,-1.4813,0.11852024,-3.72686195,-6.37707271,82.24154321,239.37583813,308.15041298,14979282840.048813,0.8631,29436678810.92,,2024-01-03T05:21:00.000Z,,,,,,2024-01-03 05:22:39.567819
9,74,Dogecoin,DOGE,dogecoin,863,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,142495896383.70526,142495896383.70526,True,,10,,,,2024-01-03T05:21:00.000Z,0.09170917020071796,454517941.9669062,33.2213,0.1024395,-1.58516004,1.01859918,3.51980003,33.99246641,49.88609889,13068180414.357098,0.7523,13068180414.36,,2024-01-03T05:21:00.000Z,,,,,,2024-01-03 05:22:39.567819
10,6636,Polkadot,DOT,polkadot-new,657,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1263448804.362918,1395709306.0712695,True,,11,,,,2024-01-03T05:21:00.000Z,8.509146472694214,313356552.80434144,17.6523,0.3684065,-2.10028356,-1.06926053,50.6786924,84.16991085,110.21979516,10750870937.074444,0.6194,11876294918.66,,2024-01-03T05:21:00.000Z,,,,,,2024-01-03 05:22:39.567819
11,1958,TRON,TRX,tron,894,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,88309832858.25214,88309846753.59267,True,,12,71659659264.0,7839282153.743263,,2024-01-03T05:21:00.000Z,0.10939602887117718,272697787.6274138,31.257,-0.3542251,0.90075142,6.43965953,5.32975056,12.48237924,22.41896955,9660745024.970182,0.5566,9660746545.07,,2024-01-03T05:21:00.000Z,,,,,,2024-01-03 05:22:39.567819
12,3890,Polygon,MATIC,polygon,1219,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain', 'standard-crypto-portfolio']",10000000000.0,9555244231.123314,10000000000.0,False,,13,,,,2024-01-03T05:21:00.000Z,0.982564957109003,528874118.7709447,12.4937,0.09529677,-3.60464058,-2.83877033,18.28848621,47.69716582,74.86718554,9388648138.119728,0.5409,9825649571.09,,2024-01-03T05:21:00.000Z,,,,,,2024-01-03 05:22:39.567819
13,1975,Chainlink,LINK,chainlink,1545,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",1000000000.0,568099970.4527867,1000000000.0,False,,14,,,,2024-01-03T05:21:00.000Z,15.39874790782974,432947353.9309446,13.0038,0.42088045,-2.83285349,3.6420188,-4.71547036,36.61492151,100.80947009,8748028231.447987,0.5036,15398747907.83,,2024-01-03T05:21:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-01-03 05:22:39.567819
14,11419,Toncoin,TON,toncoin,185,2021-08-26T13:40:22.000Z,"['pos', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3455988050.256379,5100523634.036675,True,,15,3414166606.0,7780064928.72997,,2024-01-03T05:21:00.000Z,2.2787595997973304,64227594.23093292,65.3055,-0.24029823,-3.5055605,5.80067081,-7.20860894,0.56581525,15.6298318,7875365946.306582,0.4538,11622867195.05,,2024-01-03T05:21:00.000Z,,,,,,2024-01-03 05:22:39.567819
0,1,Bitcoin,BTC,bitcoin,10690,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19588100.0,19588100.0,False,,1,,,,2024-01-03T05:24:00.000Z,45270.78874820105,31784755785.14685,19.3932,-0.02973047,-0.02260914,6.81216301,9.26254729,30.69523753,63.54946237,886768737078.637,51.047,950686563712.22,,2024-01-03T05:24:00.000Z,,,,,,2024-01-03 05:26:51.082700
1,1027,Ethereum,ETH,ethereum,8166,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120185495.51593144,120185495.51593144,True,,2,,,,2024-01-03T05:24:00.000Z,2375.041614883538,11618107509.810875,34.8291,0.16169076,-0.65513792,6.81148201,5.59037797,29.91604719,44.43341816,285445553355.736,16.4317,285445553355.74,,2024-01-03T05:24:00.000Z,,,,,,2024-01-03 05:26:51.082700
